titulo,texto,categoria
Angular: Why and when to create a feature component and feature module,"Designing Data Model Create the product interface, check below code for the product.ts file. export interface Product{ id: number | null; productName: string; productCode: string; productDescription?: string; } Define a product module which is a feature module for the application. Import CommonModules for the common module used in the feature module. import { NgModule } from ‘@angular/core’; import { CommonModule } from ‘@angular/common’; import { FormsModule } from ‘@angular/forms’; @NgModule({ imports: [ CommonModule, FormsModule, ], declarations: [ //Define feature component here later ], exports: [ //Define feature component here later ] }) export class ProductModule { } Import ProductModule in the root module. In our case the root module is the default app module. import { NgModule } from ‘@angular/core’;",Artículo
When to decide for NoSQL or SQL?,"Portuguese Version: https://inside.contabilizei.com.br/quando-utilizar-nosql-sql-9c9255cd5f12 Note: First of all, I would like to clarify that everything I put in this article is based on professional experiences in projects that I had the honor to participate that gave me this level of knowledge. From now on I make myself available for contact and discussion on the subject. Breaking paradigms: It is a fact that NoSQL came to break a series of paradigms and solve a series of problems that were understood as fact and / or routine. When such disruptive technology comes to market, it certainly meets something that was already a necessity. NoSQL databases have arrived offering a more flexible, scalable, and less expensive alternative to what the relational database offers. Everyone",Artículo
Add static type to a class in typescript,"I have the following setup in TypeScript: This works fine, but I want to define the type inside the class so that it's scoped to the class and can be referenced as something like . Ideally, I would like to achieve something like this: Since declarations aren't allowed directly inside a class, how can I achieve this behavior while keeping the type definition closely associated with the class? Is there a recommended way to encapsulate such types within a class in TypeScript?",Pregunta
ScyllaDB Developer Hackathon: New IMR infrastructure,"by Botond Denes IMR stands for In Memory Representation and in the scope of this blog post we mean the in-memory representation of cells. You might be asking, why is this even something worth talking about? Why not just use the native data model provided by the programming language in use? The answer lies in the programming language in use: C++ is a strongly typed compiled language and as such it needs to know all properties of a type at compile time. Cells on the other hand have various fields depending on the state they are in and even depending on the schema — the CQL type of the value they store. To give the simplest example, while a live",Artículo
Twitter as a Political Barometer,"Twitter as a Political Barometer Analysing the content of 1.5 million tweets by current UK politicians This is the third standalone post in a series analysing the UK government on Twitter. The first looked at the basic overview of how many MPs were on Twitter and who has the biggest following. The second article investigated this a bit more and investigated the following of each MP - in particular, how many people only follow a single MP or party (hint: a lot). This article will get to grips with the actual content shared by UK MPs on Twitter. I have scraped every tweet that the current 580 MPs on Twitter have ever tweeted: a dataset of over 1.5 million tweets.",Artículo
"A Less Known Attack Vector, Second Order IDOR Attacks","Most of you probably familiar within the vulnerability types “IDOR (Insecure Object Direct Reference)” and second order vulnerabilities such as “Second Order SQL Injection.”, still for the ones who are not familiar, OWASP defines IDOR in theory as: Insecure Direct Object References occur when an application provides direct access to objects based on user-supplied input. As a result of this vulnerability attackers can bypass authorization and access resources in the system directly, for example database records or files. So if you imagine, there is an endpoint exist such as https://ozguralp.com/my_cards.jsp?card_id=1231414 on a standard user profile, when you change card_id parameter sequentially if you get other users card information unauthorizedly, then the endpoint is vulnerable to IDOR attacks. Now, PortSwigger defines",Artículo
Lean Analytics Using Your Existing Jira Instance,"In my Tapping Into Jira’s Hidden Treasure post I mentioned I would soon be releasing a Lean Analytics Dashboard (LAD) that provides in depth Lean/Agile metrics and analysis. Today, I am making the LAD freely available to use. Like the Enhanced Jira Query Tool the LAD is a stand-alone tool built using Google Sheets and Google Apps script. It automatically pulls data from your existing Jira instance, allowing you to turn that data into information you can utilize to help understand your team’s behaviors and enable your continuous improvement efforts to be more data driven. The Lean Analytics Dashboard transforms the raw Jira data into concise chart based metrics rendered in configurable dashboards so you can focus on the areas",Artículo
"Why would the Supabase client cause a MiniOxygen error with ""dev"" script but work with ""preview"" script?","In my up to date shopify hydrogen/remix app, I am trying to import the supabase-js package into my server.ts or specific route. When I initialize the createClient function, then run the ""shopify hydrogen dev --codegen"" command, I get this error. When I run the script for ""npm run build && shopify hydrogen preview"", it starts up and works without problem. The supabase-js client works as intended. This is a snippet from my file where the client is called Now I am stuck trying to wrap my head around why one would cause issues but the other does not. My first thought was perhaps it is related to the pnpm workspaces used in this monorepo. The structure is The error message",Pregunta
FIDO2 Fingerprint Verification Fails in Production (Works on Localhost) – Express.js + fido2-lib,"Context I’ve implemented FIDO2 verification for login and signup on my Express.js website. Everything works perfectly in localhost, but in production, the fingerprint verification of my security key fails three times in a row within a second, without any interaction with the key. After these failures, it falls back to PIN verification, which works as expected. Environment Backend: Express.js using the fido2-lib library Frontend: Native navigator.credentials API (WebAuthn) SSL Certificate: Valid RP_ID: x-x.x.com (correct format) Origin: Verified and valid fido2-lib Configuration Here’s my server-side f2l object configuration: getAssertionOptions Setup For verification, I use the following options: Issue The problem only occurs in production during calls to: Symptoms: Fingerprint verification fails three times in under a second (no time for user",Pregunta
Why is a third image briefly shown during flip animation in Vue.js?,"I’m working on a Vue.js component where I’m creating a flip animation with images that change every few seconds. The goal is to randomly change the image, but there is an issue during the transition. What I want: Possible images are loaded from a folder. We start with one image and which will be the next image is determined randomly. There is a flip animation between the images. What happens: The logic has one flaw. The animation between image 1 and image 2 works as desired. But in the animation from image 2 to image 3, image 1 reappears for a short moment. (And this happens in all succeeding animations, too.) You can find a screen recording of this issue",Pregunta
ctrl-C to terminate a pyqt application with a QOpenGLWidget,"My main file for a pyqt application looks like this: It works, and when I ctrl-c in the terminal (on Ubuntu) the application will terminate... ...unless it creates a QOpenGLWidget, in which case ctrl-C does nothing. I tried this but is never called. How can I terminate a pyqt application using QOpenGLWidget using ctrl-C from the terminal?",Pregunta
Fatal: Illegal use of top-level '-ident' at,I have two boolean columns and I want to generate query: I try to do at searching for . I tried: But I get error: What I do wrong? uses . But I still do not understand from the documentation how to write correctly. I use as database SQLA version is '2.000001' DBIx::Class v0.082841,Pregunta
Getting scala.MatchError while trying to execute join on Spark SQL query,"I have a query that I am trying to execute via spark sql. When I executed the table results separately, I could see results. But when I join them, i am getting scalaMatch error Query that I used: Sample Table1 values : Sample Table2 values : Error message : I tried changing the join tables, but am still receiving this error. Please advise what I can change in the Spark SQL to fix this error. Spark version is 3.0.1 running on Amazon AWS .",Pregunta
Augmented Art Cards,"Sketchbook → Procreate → Code → Production I made my Xcode project available on github, go grab it if you are curious to learn more about ARKit! This experiment with iOS’s ARKit made me realize there’s so much potential for the technology as a medium of artistic expression. The art card idea spawned about four or five additional ideas I’d like to pursue. If only I could find four or five additional days in the week to work on those ideas. Background Some of my earliest memories are me drawing on things. My dad was a welder and our yard was full of hulking, rusty pieces of metal and I took chalk rocks from our driveway to doodle murals all",Artículo
Why am I not seeing an error in this .d.ts file,"I have the following two statements When I put these two declarations in the same file, ts will report an error: But when I put these two declarations in two *.d.ts files, ts will not report an error. At the same time, when I check the actual type of A, A and are the same. The way I check A: I have created a minimal reproducible example What is the principle behind this?",Pregunta
How to Learn Programming with Zero Stress,"Photo by Aarón Blanco Tejedor on Unsplash I’ve been teaching Java for quite a while now. So I often share advice on how to learn programming faster and better. In talking to my students I can see that one thing distracts them very much: coding anxiety. It is a real trouble. Some people find it hard to focus their attention for more than one hour. Some are excessively stressed out by the job search. So today I’m gonna share on how to eliminate this kind of stress, use the best ways to learn programming, and enjoy coding happily ever after. Three Main Reasons Behind the Stress for Newbie Programmers 1. Imposter syndrome This comes close to the expectations of perfection.",Artículo
My page does not load the styles correctly when accessing one of its links in Angular,"I have this html page on angular: When any of the app's routes are loaded, the styles at startup do not load and for a moment the sidebar is seen without the CSS styles applied. Why don't the styles load initially? I don't have a global CSS template; instead, each component has its own CSS.",Pregunta
"Cloud SQL with private IP only: the Good, the Bad and the Ugly","The Good: Compute Engine connectivity Because this “private IP security pattern” has been built for legacy architecture (i.e. on-prem VM and private network), the constraint perfectly fits the IaaS world (i.e. Compute Engine + VPC). I mention Compute Engine but it’s also true with all the services that use Compute Engine instances: Dataflow, Dataproc, GKE,… Deploy your VM in the same VPC as the Cloud SQL instances private IP. Use the Cloud SQL instance private IP to reach it from your app which is deployed on Compute Engine. Open the required firewall rules if needed. That’s “good”!! Note: the usage of Cloud SQL proxy in this case can be discussed. It adds an additional security layer by checking the authorization",Artículo
TidySDM non-conformable arguments model evaluation error in Ecological Niche Model with subsetted data,"I am making ecological niche models in TidySDM in R. I recently made a range-wide model using 5 fold random cross validation, grid set to 100, and algorithms that included GLM, GBM, MAXENT, and MARS. This model ran perfectly and had no problems. I then went to make a subspecies model with a subset (n=22) of the range-wide data. For this model everything stayed the same except I used jackkife cross validation. I got the following error: Then when trying to run the simple ensemble step I get this error: I then tried using 5 fold random cross validation but that also failed. I then tried using 3 fold cross validation and it worked. I also tried increasing the sample",Pregunta
How to make a legend for geom_grob shapes?,"I'm trying to define custom shapes to use in ggplot2 by passing grobs created with the grid package to geom_grob. So, for example, I might create the following two grobs (a square and a triangle): Within geom_grob there is an argument show.legend, but after setting that to TRUE nothing shows up. I thought maybe ggplot2 doesn't consider label to be an aesthetic, so I tried adding an artificial color specification. That got the legend to appear, but the legend key is blank. Is it possible to have a legend showing the custom grobs?",Pregunta
_aligned_malloc and implicit object creation,"I'm creating a C++ allocator that should over-align the allocated memory by a runtime-determined alignment value. According to https://en.cppreference.com/w/cpp/memory/c/aligned_alloc , the function is not supported on Windows. So I'm using the Win32 function like this: However, according to https://en.cppreference.com/w/cpp/memory/allocator/allocate.html , an allocator's function is supposed to allocate the uninitialized storage, and then create an object of type in it. (but not the objects in the array) Which is a no-op, but accessing the casted as a array (and constructing objects in it), would be considered undefined behavior otherwise. According to https://www.cppreference.com/w/cpp/language/objects.html#Object_creation , some of the raw memory functions (like and ) implicitly do create this object, but not necessarily . Also I'm using C++17, so don't have access to .",Pregunta
Navigation Drawer using Nav Host fragment,"I am new to Android Studio and trying to create a Kotlin MVVM-based app. I want to implement a Navigation Drawer using a NavHostFragment within the app. I have defined the navigation layout containing all my different fragments to navigate. I would like to navigate to a fragment when an icon is clicked. This is the code that should allow this, but for some reason, the code doesn't work. I want to navigate to a fragment when an icon is clicked. in my navigation layout I have a nestedGraph ,I've tried to change the startDestination on icon clicked , but the app crashes at runtime, is there any way to implement this using Navhost",Pregunta
iOS Tests working with Objective-C and Swift class together,"Introduction Swift is awesome. Yes I know. But still many companies are using Objective-C and starting to add new Swift code in it. Our generous Xcode tool supports to combine these two different style codes. It is only needed a small, no frankly, complicated setting. The situation is still fine when my concern is only main target project. However once I tried to use existing Objective-C class inside of Swift test class, I stuck in the middle. Here is solutions that how to use Objective-C and Swift class together for each situations. Four different situations using Objective-C and Swift class using Objective-C class in Objective-C unit test class This is common case that you can simply import objc class in",Artículo
Algorithms In Python: Quicksort,"Photo by Martin Adams on Unsplash Today we will not be solving any leetcode question. Instead, we will be looking at a sorting algorithm. Quicksort Quicksort is an efficient sorting algorithm and falls in the divide-and-conquer category of sorting algorithms. Quicksort is an unstable sorting algorithm, which means if two values are the same in a list, the algorithm can still swap them. The idea behind quicksort is having a pivot, and finding the correct position in the list. Let us walk through an example. It should be easier to understand the algorithm. Suppose we have a list with the following numbers. A = [8, 1, 6, 10, 5] We need to consider a pivot. We can choose the pivot",Artículo
Off with their heads — the rise of the modern CMS,"Wasn’t this supposed to be easy? You paid a glamorous agency to design your new website. You spent thousands of hours and a gazillion dollars laboring over every aspect of the design to get it just right. After rounds and rounds of meetings and reviews and arguments and sweat and tweaks and nudges… finally you have a design you are happy with. Even the board is happy with it. And they want it. They want it now. So let’s build this sucker. And let’s launch it. Then you can finally say thank you and goodbye to those expensive design and development contractors and get on with managing the content in your gleaming new website yourself. For you, in your wisdom,",Artículo
Understanding kubernetes networking: pods,"This post is going to attempt to demystify the several layers of networking operating in a kubernetes cluster. Kubernetes is a powerful platform embodying many intelligent design choices, but discussing the way things interact can get confusing: pod networks, service networks, cluster IPs, container ports, host ports, node ports… I’ve seen a few eyes glaze over. We mostly talk about these things at work, cutting across all layers at once because something is broken and someone wants it fixed. If you take it a piece at a time and get clear on how each layer works it all makes sense in a rather elegant way. In order to keep things focused I’m going to split the post into three parts.",Artículo
Compilation errors with Scala imports,"I have the following code in my file for a Scala project: However, in another file when I try to import as such: I face the following errors: Would anyone know how this compilation error was caused? Any help would be greatly appreciated! docs",Pregunta
Google Sheets: Refresh =importhtml() faster,"I am trying to import the leaderboard for the Masters into a google sheets document. I successfully did so using the following formula: =IMPORTHTML(""https://www.espn.com/golf/leaderboard"",""table"",1) However, the data is set to refresh every hour. based on other articles I've seen It's possible to get this data to refresh every 5 minutesinstead. I've tried a number of different things including several scripts. Unfortunately, my knowledge of App Scripts is very very basic and this seems to be a notch above what I know. What do I need to do to get this data to refresh 1 or 5 minutes? Here's the spreadsheet: https://docs.google.com/spreadsheets/d/1KPlhD9xt0hAgZiUGTeZZ-bxNINhy7TvITpazpPmoBO8/edit?gid=693770553#gid=693770553 The formula is in Cell O2 of the ""ESPN Hourly Data"" Sheet Here's what I've tried: I found this",Pregunta
Simplify Code Review Process with Auto Mention Code Review Systems,"As Tokopedia grows fast from time to time, so does the number of sub-teams and modules in our android team codebase. Each sub-team usually owns a number of modules, depending on the size of each sub-team. We use CODEOWNERS file system from GitHub to make sure that every code changes to a specific module should be reviewed by at least one of the members of the sub-team that owns that module. Actually this system is great for securing the codebase from breaking changes. The only problem is: when we create a pull request (PR) with huge changes in a lot of modules and want to request for code reviews. The Problem What we usually do when we want to request",Artículo
Shared memory among forked processes c++,I am writing a c++ program and I want a program where there are two processes (running with fork()) and they both share a common list and an interprocess mutex is there to guard the shared list modifications from each process. How can I declare the list and the mutex so that they are shared among processes? I can use boost library if needed (and if it makes things easier),Pregunta
Keevo Connect #2 — Nov. 2019. Welcome to the second installment of…,"Welcome to the second installment of Keevo Connect. In our last post, we promised to share more regular updates so that you can follow along with our progress. We shared a first look at Keevo’s user interface and announced our updated product roadmap and timeline for first product shipments. Since then, the product team has continued to make great progress and we’ve achieved several key milestones. We’re especially excited to share a first look at our Keevo Model 1 pre-production prototypes — complete with all components and latest firmware — connected to our downloadable desktop application. This is really exciting and the look a-m-a-z-i-n-g. Check out the pictures below of our latest Keevo Model 1's and the video of our",Artículo
Query to automatically update values based on other certain criteria,I've got a SQL query that is trying to update threshold information on a SolarWinds database. The main data is within the Nodes view and the Thresholds table contains the warning and critical threshold limits. I INNER JOIN these and attach them via the Thresholds.InstanceID and Nodes.NodeID data columns. This query will update thresholds IF custom thresholds have already been set; however when you add a new device into SolarWinds it uses the default threshold values and doesn't add them into the Thresholds table. How do I get this query to first check if the NodeID is in the InstanceID column and if not add a new row and reference the NodeID and add the custom Warning and Critical values?,Pregunta
How to include nested 'Document' objects in ElasticSearch search results in Go,"I'm working on a Go project where I use ElasticSearch to search and retrieve data. I have the following function that performs a search query: And the models: The problem: When I run , the returned objects have an empty field. I need the search results to include the associated objects.",Pregunta
Is there a way to elegantly solve `move behind a mutable reference` without implementing the `Copy` trait?,"I'm trying to implement the merge function for my merge sort in Rust. The catch is that I'm trying to do it for a generic type , which is only restrained by . This is the code: When looking at documentation, I discovered the method, with which the method is supposed to yield instead of . But it only does so if the iterator isn't constructed on a reference (since I'm passing a slice into the function). (Quick reminder: this is because of how borrowing works. See this StackOverflow question ) This is the same reason why you cannot dereference variables and on the lines with comments. My question is: is there a way to solve this problem while keeping",Pregunta
Go jwt.ParseWithClaims issue,"I have been trying to validate a token right after generating it, but the ParseWithClaims part keeps returning the error: Example token: TokenSecret: these are the handlers and support methods: any suggestion is welcome, thank you I have logged the token when it was passed into the ValidateJWT function and it seems fine Edit:",Pregunta
Action extension loadItem(forTypeIdentifier:options:completionHandler:) not running when saving directly from screenshot thumbnail,"I am trying to save a screenshot to my app using an action extension directly from the screenshot thumbnail you see as soon as you take a screenshot but the method loadItem(forTypeIdentifier:options:completionHandler:) just doesn't seem to be running. Here's the code: This works fine when I try to save an image from the photos app and works fine when I take a screenshot inside the app. Also, when I run the action extension scheme from Xcode, it doesn't show up in the debug console so I had to find another way to see the logs which I why I have something called just think of this as a print statement. I tried looking in stack overflow for solutions and found",Pregunta
Automate values from text files to each sheet of excel file,"Is there any way to automate values from multiple text files to multipe worksheets in the same excel file? (Ex: Textfile1 values to Sheet1, Textfile2 values to Sheet2 and so on) Because for now I have to change the name of the text file and the excel worksheet everytime I extract values from different text files so that I need an automation to ease the work. Below is the recent Perl script I am using.",Pregunta
How can I match whitespace outside of HTML comments with RegEx?,"I would like to replace instances of ""\n"", ""\t"", and "" "" (four spaces) in RegEx, but preserve all whitespace inside of an HTML comment block. Unfortunately, the comment can contain anything, including other HTML tags, so I have to match "" "" specifically. Furthermore, there may be multiple instances of comments with whitespace to match in between. I can use multiple RegEx expressions if needed, but I cannot modify the HTML content aside from the replacement. Here is some sample code to experiment with: In this instance, all sets of four spaces should be matched except for the ones in each comment (lines 4, 5, 10, 11, 16, 17). I have already split up my expressions into one for",Pregunta
How To Setup a RealTime Database Replication and Backup on Linux Servers,"If you have never experienced a Data Breach, you may be unaware of the importance and benefits of having a real-time database replication/backup configured on your database servers. First off, let's begin by understanding what a Database Replication means and the scope of this post. Database replication is a process of copying (syncing) data from a database on one server (the master server) to a database on another server (the slave server). The main benefit of this process is to distribute databases to multiple machines, so in the event of downtime, hack, or failure of the master server, there is a backup machine with same data available ready to kickoff for handling requests without interruption. This is often known as",Artículo
HOW TO CONVERT YOUR APP IDEA INTO A MOBILE APPLICATION,"According to Statista, in the year 2019, the global revenue for mobile applications amounted to 365 billion U.S. dollars and is expected to reach 462 billion U.S. dollars by the end of 2019. It is no secret that mobile applications have become extremely important to businesses in this digitally busy and rapidly evolving technological landscape. Many aspiring entrepreneurs seek out to start an online business with excellent ideas. However, usually, such individuals fail to materialize their vision because they fall short when it is time to answer the real question — What to do with an app idea? With intuitive mobile applications, customers find themselves better connected to the services that are being offered by the business. Subsequently, these better",Artículo
"Deploying Python, NodeJS & VueJS as Microservices","In this article I cover a number of different concepts and technologies; Web Sockets, Python, Node, Vue JS, Docker, and bring them all together in a microservice architecture. 3 Microservices Each component in this stack will be a microservice. I will take you through building each one, including running them in separate Docker containers. Why Microservices Microservices bring with them immense flexibility, scalability, and fault tolerance. Today we will only cover the flexibility. Scalability and Fault tolerance require other technologies such as Kubernetes which are outside the scope of this article. The flexibility of Microservices is created by each service being independent of the others and importantly only doing one job. Taking the example we are looking at in this",Artículo
go mod conflict with v2 pre-release,"I am developing version 2 of my hap package, which is a HTTP API framework. Version 2 is not ready yet, and the latest release ls , like so: The directory structure of the entire repo is: The under the root directory is: while looks like: The problem now is go failed to get the v2 pre-release, under a project using : Using :",Pregunta
Asynchronous Programming In Java,"Why Asynchronous programming Asynchronous programming provides a non-blocking, event-driven programming model. This programming model leverages the multiple cores in your system to provide parallelization by using multiple CPU cores to execute the tasks, thus increasing the application’s throughput. In Java, there are many ways to achieve asynchronous programming or reactive programming like using RxJava, project Reactor, vertX, etc Here we will discuss the project Reactor using the spring web-Flux module. Spring webFlux module Spring Framework 5 includes a new spring-webFlux module. We will achieve the asynchronous services using spring webFlux. It exposes 2 major API types: Flux and Mono. These API works on the concept of subscriber and publisher. Flux and Mono are publishers. Difference between Flux and Mono Mono",Artículo
How LaunchedEffect works,"I don't really understand how LauchedEffect works, can you explain to me? Here is the context, I make a account.get() call to find out if a user session exist or not in my app, depending on the case I return userExist = true or = false But in all cases it returns me a return = true to know that I must launch my LaunchedEffect at that moment, here is my code SplashUiState: SplashViewModel: SplashScreen: My code seems good to me, well structured but when the user exists userExist = true it launches my code in the else and not in my if How is this done?",Pregunta
What is Serverless Microservices?,"Microservices and Serverless architecture has been gaining a lot of traction in the recent past. While Microservices ensure fault isolation, continuous development & deployment, and manages codebase seamlessly; Serverless architecture takes care of infra, server, and cost optimization. Although, both the architectures serve a different purpose, at a different level of development, they can be combined to have a performance-oriented solution, which is optimized for cost and infra efficiency. The architecture thus developed is known as serverless microservices. What is the serverless microservices approach to development? What are the benefits of going serverless? What’s the difference between microservices and serverless? The later segment introduces you to serverless microservices architecture and its surefire benefits for software development. What is Microservices Architecture?",Artículo
"Everything about var, let, and const","Earlier in javascript, the var keyword was used to declare the variable but after the introduction of ES6 two more keywords namely “let” and “const” comes into the existence. So, here we will try to find out how these keywords behave and why “let” and “const” comes into the existence. Var It is the old plain js way of declaring the variables. But the problem with this keyword is, it allows the redeclaration of the variables which can create bugs in the code if someone again declared a variable with the same name in the file it will not cause any error but the program may behave unexpectedly. So, it is not advised to use it but you will see",Artículo
CMake source_group with Multiple Root Filters and Header Files,"I've been trying to move my Linux development environment into visual studio (while still keeping CMake for further development on Linux) and so far I've been successful by using CMake presets to create multiple configurations and generate solution files. However, I've been stuck for a long time trying to create filters to organize my solution explorer. I've had some partial success, but I can't get header files to appear. I have a file structure like so: and I'd really like to have this reflected in my solution explorer by using filters (e.g. a filter for , , and with subdirectories under each). Currently I'm collecting files and setting the source group by doing I've heard that using GLOB for this",Pregunta
How-to: The PGExercises PostgreSQL Tutorial Running on a Distributed SQL Database,"PgExercises is a sample dataset used to power the PostgreSQL Exercises website. The site is comprised of over 80 exercises designed to be used as a companion to the official PostgreSQL documentation. The exercises on the PGExercises site range from simple SELECT statements and WHERE clauses, through JOINs and CASE statements, then on to aggregations, window functions, and recursive queries. The dataset consists of 3 tables (members, bookings, and facilities) and table relationships as shown in the ER diagram below: In this post we are going to walk you through how to download and install PGExercises on the YugaByte DB distributed SQL database with a replication factor of 3. What’s YugaByte DB? It’s a high performance distributed SQL database for",Artículo
go get on private gitlab repository fails with no secure protocol found for repository,"Setup: migrated repository(ies) from GitHub.com to private (Synology hosted) Gitlab repository(ies) created an HTTPs endpoint using Synology ""reverse proxy"" that maps HTTPs to internal HTTP endpoint In Synology, assigned a certificate for this HTTPs endpoint(+ port) In client machine, added the public certificate file to the linux trusted certs store(/etc/ssl/certs/) In client machine, running the command git clone works Still in client machine, running ""go get"" or ""go mod tidy"" on a directory with go.mod with this endpoint in the list of ""replace"" statement fails (after pausing/waiting for few seconds) with the error msg: no secure protocol found for repository Example: replace ( github.com/abc/md5-simd v1.1.1 => synology.com/abc/md5-simd.git v1.1.1 ) What seems to be wrong here? The ""git clone "" works.",Pregunta
"Receiving ""Connection prematurely closed BEFORE response"" after JDK upgrade to 21 and spring-cloud-zulu to spring-cloud-gateway",After upgrading Spring Boot gateway application Java version from JDK11 to JDK21 and changing the dependency of the gateway from to (spring cloud version: ) there started coming errors when many requests are made to the gateway and the request processing time is big. These errors are: PrematureCloseException: Connection prematurely closed BEFORE response PrematureCloseException: Connection prematurely closed DURING response. What are the possible reasons for this? And possible solutions?,Pregunta
SBT Provided dependencies are not excluded with assembly,"I am new to sbt. I have a quite simple project config as follow: In my understanding provided scope means you make sure such dependencies are provided in class path and will NOT be include in the fat jar to be generated. Here I have 5 dependencies, no matter how I config the provided scope. The assembly result were same in size. I even tried to add provided to all of them, still the same. Do I misunderstand provided?",Pregunta
What does the bang '!' do before an open brace '{' in Rust?,I'm reading code as part of learning Rust - I've just done Chapter 9 in The Book. I don't understand what the bang '!' is doing here: or in several other functions in a chain that call this one. I looked the The Rust Programming Language Operators and Symbols but I couldn't recognise it one of the entries.,Pregunta
"""Remember me"" feature for login in TikiWiki site not working","I recently upgraded my site's installation of Tiki Wiki CMS Groupware from version 25 to version 27. I also upgraded PHP version from 7.4 to 8.3. Now the ""Remember me"" feature is not working and every time I visit my site I have to login again in my admin account. I tried it with different browsers and even on different computers. It is the same for other users of the site; if they return few hours later they have to login again. I already increased those directives in but without any effect: session.cache_expire session.gc_maxlifetime session.cookie_lifetime Any idea what might be causing the problem or how can I debug it? EDIT: Added my Tiki configuration relevant to this issue:",Pregunta
The Complete Customer Data Stack,"Overview In this article, we break down the ideal architecture for “the complete customer data stack” from the perspective of the data engineer. With new customer data software tools being launched every day and unclear definitions around terms like “customer data platform,” we make the argument that these individual tools are always part of a much more comprehensive customer data stack that should be managed by IT and engineering. In business software, terms like “unified customer data” and “360º view of the customer” are hot marketing buzzwords. Executives and, of course, salespeople say that these new tools are the best thing since sliced bread. When it comes to engineering and IT organizations, though, most developers don’t think of fancy marketing",Artículo
Rooster Teeth value VPN privacy protection — read on for the best VPN deal out there,"Rooster Teeth value VPN privacy protection — read on for the best VPN deal out there Viktor Zwoch Apr 13·2 min read Rooster Teeth is a very successful YouTube channel that currently has 9.48 million subscribers and six billion views. Those are impressive numbers for any channel, and it speaks of high quality of their content. They do various videos from making podcasts, animated shows, to live-action shorts and series. They also make content about gaming. This content production company from Austin is well known for their videos which are released frequently to satisfy those who crave entertainment. But what’s even better is that they care about their fans online safety, and recommend to use a VPN for privacy protection.",Artículo
Change (edit/create) virtualhost for any folder on laragon,I have been using Laragon for few days. One of my student inspired me to move on Laragon. Actually the most valuable feature I found that virtual hosts are created automatically as soon you create a new project by clicking quick app menu. Quick app >> Laravel Create virtualhost by clicking quick app menu The problem started when i imported one my previous project in laragon. I copied the folder into www folder but I can not browse that project with virtualhost. I followed a process that I created a project with a name that i am expecting and after that i removed all the folder inside that and copied my folder into that place. This is not a proper,Artículo
Ensuring Successful File Uploads to S3 Using Presigned URLs,"Previously, I used the following approach to allow users to upload files to our cloud storage service: Server-side (Python): Generate a time-limited presigned upload URL. Client-side (Java): Upload the file using the presigned URL. Java Code: Uploading a File Python Code: Generating a Presigned Upload URL Issue: HTTP 200 OK, but File Not in S3? I noticed cases where the client-side upload returns HttpURLConnection.HTTP_OK, but the file does not reach S3. (Is this even possible?!) To verify the upload's correctness, I implemented an additional verification step after uploading. Java Code: Verifying the Upload Python Code: Generating a Presigned HEAD URL for Verification Does This Approach Make Sense? Would this method reliably verify uploads, given that does not always mean a",Pregunta
The Top 3 Most Innovative Mobile Marketing Examples,"Mobile marketing examples teach us the difference between success and failure. They also show us where we can improve our marketing strategies and what bumps on the road we should avoid. There is an old Latin proverb that says, “Repetitio mater studiorum est.” The adage translates to English as “repetition is the mother of all learning (or knowledge)”. Even in mobile marketing, this saying holds true, at least to a degree. To launch a successful campaign, we often repeat the tried and true methods of our marketing predecessors. However, sometimes it’s not as simple as copying someone else’s homework. It comes a time in a marketer’s life when they have to be innovative. Courageous and daring. Nearly all other devices",Artículo
Need to iterate a hash returned from a mysql query,"Ok - I have the following member function: I call it with: However my question is, how do I drill through that and extract the values in perl? It is driving me nuts - below is the format of the $vars data from Data::Dumper - I expected to see and so on how do I for example print out the value for example DevOps in the second structure in a perl script. I can do it in a tt template just not perl",Pregunta
Ultimate 2020 Django on Heroku deploy guide,"Photo by Anna Shvets from Pexels A step-by-step guide on how to quickly prototype and showcase your Django apps with a free-tier Heroku package Prologue: I don’t really consider myself a developer, but a mere enthusiast. I found Django earlier in 2020 and used it in a couple of prototype projects that never saw the light of day. I saw the potential of a front-end/back-end combo I loved the possibility of moving past vanillaJS/React+Netlify pages that I was creating. I lacked backend, database and more versatility and Django provided. I found it very non-trivial to deploy to Heroku and I didn’t find any good step-by-step beginners tutorials and spent multiple hours debugging errors and trying to make up my mind",Artículo
How Businesses Can Utilize Online Databases to Boost Profit,"How Businesses Can Utilize Online Databases to Boost Profit Retable Feb 2·3 min read One of the key ways to ensure that your business is successful is to continually look at ways that you can improve different areas of the business, particularly through staying up to date with the latest technology solutions that can drive efficiencies. By speeding up processes and improving how tasks are completed, businesses can spend more time and resources on activities that generate profit. Database management is an area of your business that can help your business to perform better and as a consequence, help you to be more profitable. Whatever type of industry you are in, having a secure way to manage your data, through",Artículo
How to setup a php5.6 docker in Ubuntu 24.04?,"I have a legacy php I wanted to deploy in a docker on Ubuntu 24.0 I have a docker: I bind the project via docker run command, the problem is the docker doesn't install mysql-client or any other libraries even though I run apt-get update (some sources are down already). It always says unable to locate the package. How do I approach this?",Pregunta
